,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Basin_ID
106,0.6487399339675903,0.713992178440094,0.8449805787354489,0.7859125204369963,0.9004681706428528,0.9991049766540527,-0.0009559561149217188,0.8104582822076642,2.6763640344142914,-15.444412191767748,0.5368092999560597,0.631578947368421,camelsbr_56983000
107,0.4843984842300415,0.8434051275253296,0.9183709095596014,0.6869237514814271,0.8908599615097046,1.0916814804077148,0.0839139074087143,0.7212533488361702,-3.9447464048862457,-18.321529514159202,14.243471161065917,0.25,camelsbr_56988500
108,0.5107511281967163,0.6163581013679504,0.7850847733639663,0.6592463147364946,0.8287912607192993,1.112216591835022,0.09160630404949188,0.7275884030891762,-9.896436333656311,-25.22504003257522,-19.232567628707816,0.5454545454545454,camelsbr_56989001
109,0.25416576862335205,1.5253398418426514,1.2350464937979668,0.4878421220326685,0.7632961273193359,0.9381388425827026,-0.05406983196735382,0.5500553747126561,-26.841971278190613,31.864177166879664,-69.78418095413555,0.9230769230769231,camelsbr_56990990
110,0.31734782457351685,0.7895179390907288,0.8885482199018401,0.599340759460183,0.8773417472839355,1.0347837209701538,0.03348127007484436,0.6201673094294601,-11.87768206000328,-3.729086372356187,-22.842482400468718,0.9333333333333333,camelsbr_56991500
111,0.4277390241622925,0.7265732288360596,0.8523926494498059,0.5981530181224444,0.7892590761184692,0.9201527237892151,-0.051631778478622437,0.6672934140607103,-20.92118412256241,-8.916501396707725,40.51678484600088,0.5714285714285714,camelsbr_56993551
112,0.44323939085006714,0.8335461616516113,0.9129874926041491,0.5887867670682585,0.7822161912918091,1.138349175453186,0.09167533367872238,0.6798031211049173,-16.94718450307846,-48.158392301169386,45.27513131403877,0.7333333333333333,camelsbr_56995500
113,0.37251055240631104,1.0176301002502441,1.0087765363301449,0.4832833784874764,0.6586825251579285,1.0082076787948608,0.006775337737053633,0.6121455397658178,-28.73486578464508,-34.034183276902546,53.87958718724056,0.9333333333333333,camelsbr_57130000
114,0.5069710910320282,0.22631432116031647,0.47572504785886194,0.6846387740608899,0.8551664352416992,1.0922988653182983,0.14028561115264893,0.7355064068712134,-20.03120929002762,-2.394355790884931,27.49997731704782,1.105263157894737,camelsbr_57170000
115,0.37933140993118286,1.268505334854126,1.1262794213045562,0.41923352699548544,0.5338636040687561,0.7902707457542419,-0.3301428556442261,0.7242823972470158,-46.302205324172974,-19.29522315881642,64.26573227978584,0.8260869565217391,camelsbr_57250000
116,0.39652591943740845,3.0596752166748047,1.7491927328555892,0.4441581786430998,0.5974668264389038,0.8462614417076111,-0.14786885678768158,0.6488709208191861,-40.12884497642517,-15.956577763969923,22.86864875111042,0.5454545454545454,camelsbr_57300000
117,0.27188384532928467,7.422163963317871,2.7243648733820276,0.3028845949609936,0.495834082365036,0.8992344737052917,-0.08412033319473267,0.5292209391354123,-47.23846912384033,-23.484750088673813,67.05730682137599,0.5714285714285714,camelsbr_57320000
118,0.21551746129989624,4.971078395843506,2.229591531165183,0.45400580917557665,0.7867291569709778,0.7543031573295593,-0.22153909504413605,0.5615273492799309,-19.590985774993896,19.812783944476102,13.749110754200691,1.1111111111111112,camelsbr_57350000
119,0.38533467054367065,1.357572317123413,1.165149053607912,0.6058468622832258,0.8355963230133057,0.9055113792419434,-0.10083450376987457,0.6544569093260969,-16.9955775141716,15.581678395097304,-27.760844162678882,1.0,camelsbr_57360000
120,0.37814903259277344,1.459194540977478,1.2079712500624664,0.5989304819840113,0.8230758905410767,0.9612846970558167,-0.03841165080666542,0.6421512287408486,-17.901815474033356,11.308562959147492,-32.33295699378001,0.75,camelsbr_57370000
121,0.3892192840576172,1.2633569240570068,1.1239915142282022,0.6734660900196854,0.9509741067886353,0.9436129927635193,-0.06168331950902939,0.6821299611841765,-1.9079992547631264,7.128328704466817,-58.61511224102814,0.7222222222222222,camelsbr_57400000
122,0.363339364528656,13.137654304504395,3.6245902257364757,0.6650778849389753,0.9596603512763977,1.0357720851898193,0.024380015209317207,0.6694460803152095,-0.1485853921622038,-1.6203237048128,-25.085582946550993,0.4444444444444444,camelsbr_57420000
123,0.4771527647972107,2.2308526039123535,1.4936038979302222,0.5467675855240854,0.6757906079292297,0.9203661680221558,-0.05850430205464363,0.6934606967625632,-33.88426899909973,-3.612956802190037,10.89457903810188,0.9473684210526315,camelsbr_57476500
124,0.5378777384757996,0.74202960729599,0.8614114042059056,0.710647231198987,0.8674497604370117,0.9738407135009766,-0.0252627395093441,0.7441266904609453,-14.208762347698212,-9.740347642508063,-7.464271350911752,0.5238095238095238,camelsbr_57490000
125,0.45342445373535156,0.8801655769348145,0.9381714006165475,0.6549656176295511,0.8556762337684631,0.9199087023735046,-0.08496122807264328,0.6970069975015826,-13.459885120391846,2.4560857898942587,10.64316566188665,0.85,camelsbr_57550000
126,0.30276256799697876,0.9518045783042908,0.9756047244167542,0.45329937886666183,0.6739819645881653,1.0262795686721802,0.02122202143073082,0.5619324321475172,-35.44583320617676,-16.02037425349428,93.55540952903418,1.3125,camelsbr_57650000
127,-0.11220979690551758,1.3584678173065186,1.165533275932746,0.46979426640004796,1.3513610363006592,1.186802625656128,0.20437011122703552,0.6496168937292115,38.06588053703308,-3.971467105419941,-73.40316599859537,0.8235294117647058,camelsbr_57700000
128,-0.5631910562515259,6.823182106018066,2.612122146075498,0.34279319861684576,1.3971349000930786,1.1749439239501953,0.16230005025863647,0.5064422279152667,40.79024791717529,-5.357986942870084,-15.60336262046826,1.263157894736842,camelsbr_57720000
129,0.19581836462020874,3.2773215770721436,1.8103374207788292,0.573360316865485,0.9883967638015747,1.1646934747695923,0.16241414844989777,0.6066009106477741,-3.8278065621852875,11.810690742549065,72.53229914463228,0.65,camelsbr_57740000
130,0.2403687834739685,1.2730273008346558,1.1282851150461286,0.40330152148058707,0.7009344100952148,1.2647007703781128,0.22067891061306,0.5566690295461879,-33.37441086769104,-27.067907447101746,73.49251710548972,1.0,camelsbr_57770000
131,0.34891510009765625,1.596476674079895,1.2635175796481404,0.5230021255385114,0.7333586812019348,1.0125699043273926,0.013294482603669167,0.6046882535825595,-31.388041377067566,3.1097106910226624,70.20447434923376,0.8095238095238095,camelsbr_57880000
